date,lat,long,sex,h,prec_h
79,34.683,125.191,0,-94.27,-77.12565534
79,34.683,125.191,1,-72.63,-52.66974393
80,34.683,125.191,0,-111.51,-96.6012842
80,34.683,125.191,1,-105.65,-89.98047578
80,34.683,125.191,0,-89.89,-72.17049012
85,34.683,125.191,1,-111.17,-96.2164664
85,34.683,125.191,0,-93.82,-76.61378119
90,34.683,125.191,0,-107.15,-91.68466355
91,34.683,125.191,0,-100.68,-84.36942278
91,34.683,125.191,1,-99.84,-83.41570705
93,34.683,125.191,0,-102.09,-85.96399833
93,34.683,125.191,0,-101.56,-85.36589075
97,34.683,125.191,0,-95.97,-79.05104888
98,34.683,125.191,1,-105.91,-90.27407928
98,34.683,125.191,1,-99.11,-82.5972231
99,34.683,125.191,1,-113.17,-98.4842834
99,34.683,125.191,0,-103.18,-87.19531814
99,34.683,125.191,0,-77.77,-58.47478976
100,34.683,125.191,0,-105.89,-90.26119257
105,34.683,125.191,0,-92.72,-75.37585446
105,34.683,125.191,0,-81.82,-63.05480043
105,34.683,125.191,1,-78.41,-59.2026547
105,34.683,125.191,0,-63.73,-42.61155443
